cod_est,FECHA,T_Med,Lluvia_acum
AL008,2021-03-26T00:00:00,12.329375,0
AL008,2021-03-27T00:00:00,10.5610416666667,0
AL008,2021-03-28T00:00:00,9.02958333333333,0
AL008,2021-03-29T00:00:00,9.71504166666667,0
AL008,2021-03-30T00:00:00,10.2197916666667,0
AL008,2021-03-31T00:00:00,11.1785,0
AL008,2021-04-01T00:00:00,12.4977916666667,0
AL008,2021-04-02T00:00:00,12.271625,0
AL008,2021-04-03T00:00:00,10.19975,0.2
AL008,2021-04-04T00:00:00,9.91320833333333,5.5
AL008,2021-04-05T00:00:00,9.85875,0.1
AL008,2021-04-06T00:00:00,13.5825416666667,0.2
AL008,2021-04-07T00:00:00,9.47766666666667,0.5
AL008,2021-04-08T00:00:00,6.17833333333333,0.3
AL008,2021-04-09T00:00:00,8.849,2.4
AL008,2021-04-10T00:00:00,9.446875,0.6
AL008,2021-04-11T00:00:00,11.6894583333333,0.2
AL008,2021-04-12T00:00:00,9.15779166666667,0
AL008,2021-04-13T00:00:00,11.2116,0
AL008,2021-04-14T00:00:00,8.6945,5.3
AL008,2021-04-15T00:00:00,6.42990909090909,6.8
AL008,2021-04-16T00:00:00,7.90118181818182,2.7
AL008,2021-04-17T00:00:00,9.29591666666667,0.1
AL008,2021-04-18T00:00:00,8.83658333333333,0
AL008,2021-04-19T00:00:00,10.7469166666667,0.1
AL008,2021-04-20T00:00:00,13.5566666666667,0
AL008,2021-04-21T00:00:00,12.2579166666667,0
AL008,2021-04-22T00:00:00,10.3208333333333,2.7
AL008,2021-04-23T00:00:00,9.13495833333333,0.1
AL008,2021-04-24T00:00:00,8.18570833333333,1.9
AL008,2021-04-25T00:00:00,9.854875,5
AL008,2021-04-26T00:00:00,11.64625,6.9
AL008,2021-04-27T00:00:00,11.4479583333333,0.7
AL008,2021-04-28T00:00:00,12.3529166666667,1.7
AL008,2021-04-29T00:00:00,11.5875,0
AL008,2021-04-30T00:00:00,10.96425,0
AL008,2021-05-01T00:00:00,11.3961666666667,0
AL008,2021-05-02T00:00:00,11.1262916666667,0
